a	b	cor	markers
P1_WGS005	715A_T790M	0.2177468402982261	23
P1_WGS005	715B_T790M	0.28610054548040054	19
P1_WGS005	716_T790M	0.5608996718493103	23
P1_WGS005	717_T790M	0.2483484218216871	23
P1_WGS005	T10_WGS00C	0.09628056819432589	23
P1_WGS005	T16_WGS00C	-0.2003499586741552	22
P1_WGS005	T5_WGS00D	0.04769626990742355	21
P2_WGS005	1_CC001	0.03867812194013452	19
P2_WGS005	12_CC002	-0.0920586918160266	22
P2_WGS005	15_CC002	0.2069781214923363	21
P2_WGS005	5_CC005	0.10071976510153784	22
P2_WGS005	8_CC005	-0.283095007298275	25
P2_WGS005	707_T790M	-0.38245082601264613	23
P2_WGS005	708_T790M	-0.4195404180220119	23
P2_WGS005	709_T790M	-0.5040098798919342	23
P2_WGS005	710_T790M	0.5529250936907274	22
P2_WGS005	713_T790M	-0.3557674953807251	23
P2_WGS005	714A_T790M	0.26309016847559635	23
P2_WGS005	714B_T790M	0.2716028233897715	23
P2_WGS005	714C_T790M	-0.049858578791298014	23
P2_WGS005	715A_T790M	0.2255844761412391	23
P2_WGS005	715B_T790M	0.1488519895436199	19
P2_WGS005	716_T790M	0.2937987079333884	23
P2_WGS005	717_T790M	0.05292379378303248	23
P2_WGS005	T10_WGS00C	0.15109873727757842	23
P2_WGS005	T16_WGS00C	-0.13744014712441432	22
P2_WGS005	T5_WGS00D	0.17566482210264953	21
P3_WGS005	1_CC001	-0.00554330352107508	19
P3_WGS005	12_CC002	-0.06060186246479295	22
P3_WGS005	15_CC002	0.12355735165274878	21
P3_WGS005	5_CC005	-0.17335532732608055	22
P3_WGS005	8_CC005	-0.09554089911007935	25
P3_WGS005	707_T790M	-0.25784751014196927	23
P3_WGS005	708_T790M	-0.13047885441506635	23
P3_WGS005	709_T790M	-0.22729457453739926	23
P3_WGS005	710_T790M	0.6456599774759575	22
P3_WGS005	713_T790M	-0.1666385063049113	23
P3_WGS005	714A_T790M	0.4109328368264843	23
P3_WGS005	714B_T790M	0.47379550662691994	23
P3_WGS005	714C_T790M	0.25405855163987273	23
P3_WGS005	715A_T790M	0.41010186711249513	23
P3_WGS005	715B_T790M	0.5131698024122135	19
P3_WGS005	716_T790M	0.725549908885953	23
P3_WGS005	717_T790M	0.41485086038418595	23
P3_WGS005	T10_WGS00C	-0.005780216131434703	23
P3_WGS005	T16_WGS00C	-0.0926697061979747	22
P3_WGS005	T5_WGS00D	0.18147796056680027	21
1_CC001	12_CC002	-0.019291462826976837	21
1_CC001	15_CC002	-0.02484121832296615	21
